,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
36,181782,601996.XSHG,2022-12-31,2023-03-02,2022-12-31,0.04,21177268.36,-3866476.79,16383110.77,1.6111,0.7523,1.0933,2.1748,8.046,100.1884,2.1602,2.1748,0.6132,5.7199,1.0929,-9.4464,40.0265,46.6917,100.7375,9.9355,,-0.6588,,-0.6588,,-73.2907,,-73.2999,,-72.9336,
37,181783,300654.XSHE,2022-12-31,2023-03-03,2022-12-31,0.17,30594509.72,48098163.37,8319962.72,5.522,4.7448,4.0369,8.4696,33.0185,88.8909,12.2364,8.4696,11.1463,10.9783,-0.8215,96.3709,16.6701,85.9252,93.5851,7.8762,70.899,5.2529,,5.2529,,-0.3378,,2.8971,,2.7786,
38,181784,600513.XSHG,2022-12-31,2023-03-03,2022-12-31,0.49,133385892.21,190692664.73,-2862631.86,11.6607,11.0021,6.5661,8.513,53.3482,90.2467,9.5668,8.513,30.905,10.7023,1.0483,100.8673,-1.5142,94.352,105.3034,6.5258,66.90899999999999,18.7956,,18.7956,,19.7224,,18.9711,,18.9593,
39,181785,002812.XSHE,2022-12-31,2023-03-03,2022-12-31,4.48,3839792123.08,4631519646.89,32487141.07,25.353,24.3348,13.0115,33.4537,47.8343,63.2154,37.8798,33.4537,0.5913,8.3202,1.68,97.1958,0.6818,95.9837,65.9866,3.9996,10.8731,57.7331,,57.7331,,48.2627,,45.9074,,47.2041,
40,181786,300700.XSHE,2022-12-31,2023-03-04,2022-12-31,0.77,88548589.44,106092198.65,,15.036,14.6377,6.8668,14.0348,35.3395,83.4927,15.9236,14.0348,4.4365,12.1617,1.5184,103.8505,,97.3506,31.3277,2.4407,14.7857,137.4193,,137.4193,,220.2851,,212.8691,,216.4308,
41,181787,600605.XSHG,2022-12-31,2023-03-07,2022-12-31,0.045,8464194.43,32606469.23,74022.99,0.8251,0.7536,0.1763,3.5367,64.1687,69.9435,15.4088,3.5367,12.7315,23.2062,-4.7167,184.9314,0.4198,91.3275,568.1868,329.2041,1095.2826,-3.8893,,-3.8893,,31.0047,,-93.2644,,-84.6219,
42,181788,600873.XSHG,2022-12-31,2023-03-07,2022-12-31,1.44,4220225640.9,4947071382.43,57051971.66,36.5098,34.968,19.4062,15.7722,25.1327,82.2921,18.4707,15.7722,1.5792,4.6193,0.3002,96.0075,1.1072,95.7768,107.7568,20.2417,114.3091,21.1448,,21.1448,,76.1495,,81.5312,,83.4246,
43,181789,600681.XSHG,2022-12-31,2023-03-07,2022-12-31,0.29,348536999.78,585422532.79,3293731.59,10.3175,9.1925,5.0855,8.1098,17.4161,88.3139,11.695,8.1098,1.046,2.9903,1.3544,99.9293,0.5622,89.0959,103.5016,10.1608,86.9483,8.3251,,8.3251,,-21.4789,,-26.7645,,-27.2015,
44,181790,002240.XSHE,2022-12-31,2023-03-07,2022-12-31,6.4,5541310082.06,6794759857.31,-14888224.56,62.3045,62.1794,44.2807,47.2948,60.0693,43.5615,56.1057,47.2948,0.0641,2.8338,-0.4395,100.8536,-0.221,99.7993,92.524,14.390999999999998,25.4985,299.026,,299.026,,501.7476,,545.0086,,541.3191,
45,181791,605090.XSHG,2022-12-31,2023-03-08,2022-12-31,1.76,1057124807.33,1281094482.44,-5002491.98,17.1913,16.6739,11.4704,4.562,6.4995,94.6518,5.1955,4.562,0.8542,0.6962,-0.4812,100.8412,-0.3938,96.9906,108.137,7.0795,132.3714,29.5608,,29.5608,,63.1901,,74.0751,,75.8666,
46,181792,301179.XSHE,2022-12-31,2023-03-08,2022-12-31,1.72,188061008.65,253693837.13,50689995.69,10.8283,8.9843,8.2265,26.2301,41.888000000000005,70.6181,34.6387,26.2301,3.9678,8.725,-0.8798,84.8519,16.9541,82.9703,78.9562,14.3357,48.7909,22.7605,,22.7605,,34.2724,,21.7835,,21.8799,
47,181793,603305.XSHG,2022-12-31,2023-03-08,2022-12-31,1.1,654108511.0,776945518.41,23919558.71,15.1364,14.1188,7.8666,15.7214,23.9106,82.5551,17.6118,15.7214,0.5576,5.8921,-0.2944,99.2917,3.0569,93.2771,98.7683,8.4282,48.3134,47.3094,,47.3094,,68.0472,,69.7253,,69.7026,
48,181794,300796.XSHE,2022-12-31,2023-03-08,2022-12-31,0.79,156414033.56,195463592.86,-4009991.24,11.4266,11.6903,8.9842,20.4637,38.185,74.5514,24.831999999999997,20.4637,1.6158,10.9416,-0.5758,106.7561,-2.1901,102.3084,80.6845,24.284000000000002,95.4239,44.9149,,44.9149,,178.6181,,174.44400000000002,,171.1026,
49,181795,002668.XSHE,2022-12-31,2023-03-08,2022-12-31,0.39,426344486.52,950335114.76,117392384.02,66.2876,66.7083,13.3765,11.7084,24.5609,87.8826,13.6264,11.7084,4.0889999999999995,9.0618,-1.2019,91.0069,11.2418,100.6346,108.8477,3.8273,31.5855,-22.5187,,-22.5187,,110.209,,138.5324,,630.1804,
50,181796,605377.XSHG,2022-12-31,2023-03-08,2022-12-31,1.46,453400020.52,505568841.49,-2373230.02,15.1841,14.7313,9.7573,13.5443,18.4735,85.2878,15.5059,13.5443,0.5887,4.0919,-1.2782,94.9593,-0.4458,97.0182,122.2258,15.6843,106.6074,16.8767,,16.8767,,1.6221,,4.3556,,4.1819999999999995,
51,181797,002741.XSHE,2022-12-31,2023-03-08,2022-12-31,0.3,106848308.44,95093995.18,,6.9804,6.3819,3.3749,3.4546,15.2785,97.1204,2.5914,3.4546,2.3591,8.554,1.1392,114.4358,,91.4269,96.5176,0.2305,8.0055,27.9925,,27.9925,,51.4496,,83.4364,,87.5999,
52,181798,601068.XSHG,2022-12-31,2023-03-08,2022-12-31,-0.0036,-425591700.0,520618865.51,163221219.9,1.4836,-5.6121,0.3858,0.8646,12.7614,97.803,1.2599,0.8646,0.5033,8.3602,1.2126,182.6896,57.2757,-378.2825,96.9586,2.2149,100.8164,-0.8427,,-0.8427,,131.7859,,119.6532,,110.5105,
53,181799,600050.XSHG,2022-12-31,2023-03-09,2022-12-31,0.23399999999999999,6678674090.0,21141228686.0,4351948646.0,4.8088,4.3998,2.6901,4.6912,24.2469,94.0438,5.7478,4.6912,9.7072,8.4005,-0.2106,103.7991,21.3672,91.4951,102.6123,28.6548,481.09,8.2626,,8.2626,,15.29,,15.5042,,15.7645,
54,181800,603166.XSHG,2022-12-31,2023-03-09,2022-12-31,0.1,35769308.48,43306138.74,-10277915.79,2.6136,1.4253,1.8952,5.7802,20.6306,96.1836,5.5472,5.7802,2.5887,12.4883,0.5302,68.7807,-16.3238,54.5345,98.6725,32.9275,862.7847,-37.4669,,-37.4669,,-74.5367,,-68.5158,,-68.5158,
55,181801,000001.XSHE,2022-12-31,2023-03-09,2022-12-31,2.2,45407000000.0,38049000000.0,19031000000.0,10.966,10.9398,0.8887,25.3014,,,31.9492,25.3014,,27.4532,,66.4577,33.2402,99.7605,,74.8059,353.6808,6.2061,,6.2061,,24.9864,,25.2642,,25.2642,
56,181802,002056.XSHE,2022-12-31,2023-03-09,2022-12-31,1.03,1600048361.81,1823937397.81,-11764747.96,23.0561,22.1,10.8364,8.5761,17.4791,90.6227,9.0957,8.5761,1.2263,7.3821,-0.7658,109.9168,-0.7090000000000001,95.8534,94.0822,14.8404,158.2591,54.2794,,54.2794,,42.5586,,48.9787,,48.9825,
57,181803,300896.XSHE,2022-12-31,2023-03-09,2022-12-31,5.84,1197352350.7,1413422560.7,62539525.57,23.2366,22.0191,22.0002,65.3786,94.8468,27.0995,76.7574,65.3786,8.3903,15.3982,-2.3323,94.9684,4.2021,94.7603,100.1466,61.5799,84.4712,33.9095,,33.9095,,32.0942,,32.3829,,31.8983,
58,181806,603929.XSHG,2022-12-31,2023-03-10,2022-12-31,0.71,145398597.63,215936556.99,672541.27,13.6328,13.1676,6.2813,4.9894,10.789000000000001,92.895,5.8001,4.9894,0.1819,3.5434,-0.1827,120.0699,0.374,96.5875,104.6889,8.7631,123.3374,37.3897,,37.3897,,651.3727,,491.3567,,503.6748,
59,181807,000408.XSHE,2022-12-31,2023-03-10,2022-12-31,3.57,5697054335.9,5971003259.83,690329025.92,52.4145,52.8055,46.81,69.0131,81.9984,27.1288,80.9404,69.0131,0.5482,4.3297,-0.3532,90.5657,10.4706,100.7459,105.575,66.2747,90.9477,126.1891,,126.1891,,269.2347,,296.1826,,296.1826,
60,181808,300354.XSHE,2022-12-31,2023-03-10,2022-12-31,0.88,117372893.18,123939189.74,559252.06,22.2527,21.4483,19.6791,33.1737,67.5414,66.2367,37.1042,33.1737,11.3817,20.8433,-0.1185,91.1277,0.4112,96.3851,78.3845,8.5478,25.3169,42.81,,42.81,,58.5973,,52.1732,,52.1732,
61,181809,000739.XSHE,2022-12-31,2023-03-10,2022-12-31,0.8425,836310418.29,1076415398.04,-82605875.36,18.7133,15.8214,9.3406,9.3806,23.9042,89.7921,9.5935,9.3806,5.0760000000000005,9.3219,-1.0028,106.3583,-8.1621,84.5464,69.0466,12.5758,123.1966,17.9174,,17.9174,,-9.6245,,3.5185,,3.5188,
62,181810,001205.XSHE,2022-12-31,2023-03-10,2022-12-31,1.0029,167423450.4,199554271.95,2891292.51,12.1197,12.001,7.5369,19.9032,36.8767,77.0149,22.9349,19.9032,0.5315,9.7899,3.3964,99.3693,1.4397,99.0206,128.3617,37.6293,163.7117,41.6958,,41.6958,,35.9887,,32.9598,,30.0984,
63,181811,600989.XSHG,2022-12-31,2023-03-10,2022-12-31,0.86,6718586779.15,7801286620.06,,19.5231,20.811999999999998,12.3637,22.1686,32.8723,72.5595,27.1541,22.1686,0.2519,2.9083,0.8228,106.7589,,106.6019,97.598,23.3071,84.9371,22.0169,,22.0169,,-8.3212,,-10.8611,,-10.8611,
64,181812,603103.XSHG,2022-12-31,2023-03-10,2022-12-31,-0.5,-440605549.62,-386792281.31,7974829.4,-23.8127,-33.0531,-6.3646,-22.247,-9.9326,127.1083,-23.5388,-22.247,1.2162,4.1686,7.9878,,,,123.8577,21.8984,,-37.5149,,-37.5149,,-3244.0644,,-2422.5056,,-2422.5056,
